source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other4,other5,other6,other7,other8,other9,other10,other1_def,other2_def,other3_def,other4_def,other5_def,other6_def,other7_def,other8_def,other9_def,other10_def,geometry_ref
25772179,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,2209369.82,,,850000,m2,,614954.02,T of waste,2023-11-08 00:00:00,,Ctr-Pe,Sanitary Landfills,-7.71080277778,-34.9453888889,Waste Atlas,,nan,modeled,2013.0,Active,,,540000.0,570407.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-34.9453888889_-7.71080277778
25772182,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,,140000,m2,,112000,T of waste,2023-11-08 00:00:00,,Cuiabá,Sanitary Landfills,-15.532173807,-56.036710739,Waste Atlas,,nan,modeled,2013.0,Inactive,,,112000.0,2100000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-56.036710739_-15.532173807
25772182,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,4717.24,0.042118,T of CO2 per T of waste,140000,m2,,112000,T of waste,2023-11-08 00:00:00,,Cuiabá,Sanitary Landfills,-15.532173807,-56.036710739,Waste Atlas,,nan,modeled,2013.0,Inactive,,,112000.0,2100000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-56.036710739_-15.532173807
25772182,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,140000,m2,,112000,T of waste,2023-11-08 00:00:00,,Cuiabá,Sanitary Landfills,-15.532173807,-56.036710739,Waste Atlas,,nan,modeled,2013.0,Inactive,,,112000.0,2100000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-56.036710739_-15.532173807
25772182,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,132082.71,,,140000,m2,,112000,T of waste,2023-11-08 00:00:00,,Cuiabá,Sanitary Landfills,-15.532173807,-56.036710739,Waste Atlas,,nan,modeled,2013.0,Inactive,,,112000.0,2100000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-56.036710739_-15.532173807
25772182,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,396248.14,,,140000,m2,,112000,T of waste,2023-11-08 00:00:00,,Cuiabá,Sanitary Landfills,-15.532173807,-56.036710739,Waste Atlas,,nan,modeled,2013.0,Inactive,,,112000.0,2100000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-56.036710739_-15.532173807
25772268,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,,100000,m2,,148044.49,T of waste,2023-11-08 00:00:00,,Feira De Santana,Sanitary Landfills,-12.24439804,-38.9908647,Waste Atlas,,nan,modeled,2013.0,Active,,,130000.0,500000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-38.9908647_-12.24439804
25772268,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,6007.14,0.040577,T of CO2 per T of waste,100000,m2,,148044.49,T of waste,2023-11-08 00:00:00,,Feira De Santana,Sanitary Landfills,-12.24439804,-38.9908647,Waste Atlas,,nan,modeled,2013.0,Active,,,130000.0,500000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-38.9908647_-12.24439804
25772268,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,100000,m2,,148044.49,T of waste,2023-11-08 00:00:00,,Feira De Santana,Sanitary Landfills,-12.24439804,-38.9908647,Waste Atlas,,nan,modeled,2013.0,Active,,,130000.0,500000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-38.9908647_-12.24439804
25772268,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,168199.89,,,100000,m2,,148044.49,T of waste,2023-11-08 00:00:00,,Feira De Santana,Sanitary Landfills,-12.24439804,-38.9908647,Waste Atlas,,nan,modeled,2013.0,Active,,,130000.0,500000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-38.9908647_-12.24439804
25772268,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,504599.67,,,100000,m2,,148044.49,T of waste,2023-11-08 00:00:00,,Feira De Santana,Sanitary Landfills,-12.24439804,-38.9908647,Waste Atlas,,nan,modeled,2013.0,Active,,,130000.0,500000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-38.9908647_-12.24439804
25772280,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,,170000,m2,,523849.72,T of waste,2023-11-08 00:00:00,,Gericino,Sanitary Landfills,-22.84230502,-43.47491741,Waste Atlas,,nan,modeled,2013.0,Active,,,460000.0,7700000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-43.47491741_-22.84230502
25772280,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,25179.88,0.048067,T of CO2 per T of waste,170000,m2,,523849.72,T of waste,2023-11-08 00:00:00,,Gericino,Sanitary Landfills,-22.84230502,-43.47491741,Waste Atlas,,nan,modeled,2013.0,Active,,,460000.0,7700000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-43.47491741_-22.84230502
25772280,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,170000,m2,,523849.72,T of waste,2023-11-08 00:00:00,,Gericino,Sanitary Landfills,-22.84230502,-43.47491741,Waste Atlas,,nan,modeled,2013.0,Active,,,460000.0,7700000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-43.47491741_-22.84230502
25772280,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,705036.5,,,170000,m2,,523849.72,T of waste,2023-11-08 00:00:00,,Gericino,Sanitary Landfills,-22.84230502,-43.47491741,Waste Atlas,,nan,modeled,2013.0,Active,,,460000.0,7700000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-43.47491741_-22.84230502
25772280,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,2115109.5,,,170000,m2,,523849.72,T of waste,2023-11-08 00:00:00,,Gericino,Sanitary Landfills,-22.84230502,-43.47491741,Waste Atlas,,nan,modeled,2013.0,Active,,,460000.0,7700000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-43.47491741_-22.84230502
25772426,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,,,,120000,m2,,229644.17,T of waste,2023-11-08 00:00:00,,Perobas,Sanitary Landfills,-19.914218068,-44.058855772,Waste Atlas,,,modeled,2013.0,Active,,,198404.0,1200000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-44.058855772_-19.914218068
25772426,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,9915.64,0.043178,T of CO2 per T of waste,120000,m2,,229644.17,T of waste,2023-11-08 00:00:00,,Perobas,Sanitary Landfills,-19.914218068,-44.058855772,Waste Atlas,,,modeled,2013.0,Active,,,198404.0,1200000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-44.058855772_-19.914218068
25772426,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,,,,120000,m2,,229644.17,T of waste,2023-11-08 00:00:00,,Perobas,Sanitary Landfills,-19.914218068,-44.058855772,Waste Atlas,,,modeled,2013.0,Active,,,198404.0,1200000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-44.058855772_-19.914218068
25772426,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,277637.9,,,120000,m2,,229644.17,T of waste,2023-11-08 00:00:00,,Perobas,Sanitary Landfills,-19.914218068,-44.058855772,Waste Atlas,,,modeled,2013.0,Active,,,198404.0,1200000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-44.058855772_-19.914218068
25772426,BRA,solid-waste-disposal,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,832913.7,,,120000,m2,,229644.17,T of waste,2023-11-08 00:00:00,,Perobas,Sanitary Landfills,-19.914218068,-44.058855772,Waste Atlas,,,modeled,2013.0,Active,,,198404.0,1200000.0,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-44.058855772_-19.914218068
25776594,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,,,,14000.85,m2,,29999.79,T of waste,2023-11-08 00:00:00,,"Ecit De Guarabira, Pb-073, Distrito Industrial",Dumpsites,-6.879464765201757,-35.48154649545467,Global Plastic Watch,,"ECIT de Guarabira, PB-073, Distrito Industrial, Guarabira, Região Geográfica Imediata de Guarabira, Região Metropolitana de Guarabira, Região Geográfica Intermediária de João Pessoa, Paraíba, Northeast Region, 58200-000, Brazil",modeled,2021.0,Active,,,,,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-35.48154649545467_-6.879464765201757
25776594,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,1303.17,0.043439,T of CO2 per T of waste,14000.85,m2,,29999.79,T of waste,2023-11-08 00:00:00,,"Ecit De Guarabira, Pb-073, Distrito Industrial",Dumpsites,-6.879464765201757,-35.48154649545467,Global Plastic Watch,,"ECIT de Guarabira, PB-073, Distrito Industrial, Guarabira, Região Geográfica Imediata de Guarabira, Região Metropolitana de Guarabira, Região Geográfica Intermediária de João Pessoa, Paraíba, Northeast Region, 58200-000, Brazil",modeled,2021.0,Active,,,,,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-35.48154649545467_-6.879464765201757
25776594,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,n2o,,,,14000.85,m2,,29999.79,T of waste,2023-11-08 00:00:00,,"Ecit De Guarabira, Pb-073, Distrito Industrial",Dumpsites,-6.879464765201757,-35.48154649545467,Global Plastic Watch,,"ECIT de Guarabira, PB-073, Distrito Industrial, Guarabira, Região Geográfica Imediata de Guarabira, Região Metropolitana de Guarabira, Região Geográfica Intermediária de João Pessoa, Paraíba, Northeast Region, 58200-000, Brazil",modeled,2021.0,Active,,,,,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-35.48154649545467_-6.879464765201757
25776594,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,36488.74,,,14000.85,m2,,29999.79,T of waste,2023-11-08 00:00:00,,"Ecit De Guarabira, Pb-073, Distrito Industrial",Dumpsites,-6.879464765201757,-35.48154649545467,Global Plastic Watch,,"ECIT de Guarabira, PB-073, Distrito Industrial, Guarabira, Região Geográfica Imediata de Guarabira, Região Metropolitana de Guarabira, Região Geográfica Intermediária de João Pessoa, Paraíba, Northeast Region, 58200-000, Brazil",modeled,2021.0,Active,,,,,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-35.48154649545467_-6.879464765201757
25776594,BRA,solid-waste-disposal,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,109466.23,,,14000.85,m2,,29999.79,T of waste,2023-11-08 00:00:00,,"Ecit De Guarabira, Pb-073, Distrito Industrial",Dumpsites,-6.879464765201757,-35.48154649545467,Global Plastic Watch,,"ECIT de Guarabira, PB-073, Distrito Industrial, Guarabira, Região Geográfica Imediata de Guarabira, Região Metropolitana de Guarabira, Região Geográfica Intermediária de João Pessoa, Paraíba, Northeast Region, 58200-000, Brazil",modeled,2021.0,Active,,,,,metadata_source,landfill_area_source,native_asset_id,emissions_estimation_method,metadata_reported_year,operating_status,landfill_gas_collection_system_present,landfill_cover_type,original_reported_annual_incoming_waste,original_reported_waste_in_place,trace_-35.48154649545467_-6.879464765201757
