source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,geometry_ref
18654077,BRA,chemicals,2015-05-01 00:00:00,2015-05-31 00:00:00,month,co2,185339,2.62,"",,N/A,,70740,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-05-01 00:00:00,2015-05-31 00:00:00,month,ch4,,,"",,N/A,,70740,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-05-01 00:00:00,2015-05-31 00:00:00,month,n2o,,,"",,N/A,,70740,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-05-01 00:00:00,2015-05-31 00:00:00,month,co2e_100yr,185339,,,,N/A,,70740,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-05-01 00:00:00,2015-05-31 00:00:00,month,co2e_20yr,185339,,,,N/A,,70740,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-06-01 00:00:00,2015-06-30 00:00:00,month,co2,190519,2.62,"",,N/A,,72717,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-06-01 00:00:00,2015-06-30 00:00:00,month,ch4,,,"",,N/A,,72717,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-06-01 00:00:00,2015-06-30 00:00:00,month,co2e_100yr,190519,,,,N/A,,72717,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-06-01 00:00:00,2015-06-30 00:00:00,month,co2e_20yr,190519,,,,N/A,,72717,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
18654077,BRA,chemicals,2015-07-01 00:00:00,2015-07-31 00:00:00,month,co2,202798,2.62,"",,N/A,,77404,T of chemical,2023-10-12 00:00:00,,Cubatao Fertilizers  Complex - Unit 1,ammonia,-23.876474,-46.437419,trace_-46.437419_-23.876474
