source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other1_def,other2_def,geometry_ref
104884,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,1544219.11036015,4.987348360161994e-09,,3992.69711988587,km,7314996742.273857,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,São Paulo Urban Area in Guarulhos Municipality,"",-23.436888944670102,-46.47312075976089,BRA,São Paulo,iso3_country,asset_name,trace_-46.47312075976089_-23.436888944670102
104684,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,170.72887099222783,1.5309856554307377e-08,T of CH4 per VKT,8287.966256623633,km,11151565684.930853,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Belo Horizonte Urban Area in Belo Horizonte Municipality,"",-19.89494390965445,-43.96112708839469,BRA,Belo Horizonte,iso3_country,asset_name,trace_-43.96112708839469_-19.89494390965445
104884,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,1538317.1556319655,4.987348360161994e-09,,3992.69711988587,km,7314996742.273857,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,São Paulo Urban Area in Guarulhos Municipality,"",-23.436888944670102,-46.47312075976089,BRA,São Paulo,iso3_country,asset_name,trace_-46.47312075976089_-23.436888944670102
104884,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,36.48243700716985,4.987348360161994e-09,T of N2O per VKT,3992.69711988587,km,7314996742.273857,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,São Paulo Urban Area in Guarulhos Municipality,"",-23.436888944670102,-46.47312075976089,BRA,São Paulo,iso3_country,asset_name,trace_-46.47312075976089_-23.436888944670102
104607,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,9308341.24628195,4.987348360161941e-09,,27150.396447750056,km,44093798241.26479,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,São Paulo Urban Area in São Paulo Municipality,"",-23.58211478697292,-46.61943982432621,BRA,São Paulo,iso3_country,asset_name,trace_-46.61943982432621_-23.58211478697292
104684,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,2324862.530873032,0.0002084785757048,T of CO2 per VKT,8287.966256623633,km,11151565684.930853,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Belo Horizonte Urban Area in Belo Horizonte Municipality,"",-19.89494390965445,-43.96112708839469,BRA,Belo Horizonte,iso3_country,asset_name,trace_-43.96112708839469_-19.89494390965445
104884,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,111.9915508194393,1.5309856554307483e-08,T of CH4 per VKT,3992.69711988587,km,7314996742.273857,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,São Paulo Urban Area in Guarulhos Municipality,"",-23.436888944670102,-46.47312075976089,BRA,São Paulo,iso3_country,asset_name,trace_-46.47312075976089_-23.436888944670102
104884,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,1541045.7862702457,4.987348360161994e-09,,3984.1591657413874,km,7327971910.727786,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,São Paulo Urban Area in Guarulhos Municipality,"",-23.436888944670102,-46.47312075976089,BRA,São Paulo,iso3_country,asset_name,trace_-46.47312075976089_-23.436888944670102
104684,BRA,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_20yr,2354131.0335230217,4.987348360161895e-09,,8287.966256623633,km,11151565684.930853,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,Belo Horizonte Urban Area in Belo Horizonte Municipality,"",-19.89494390965445,-43.96112708839469,BRA,Belo Horizonte,iso3_country,asset_name,trace_-43.96112708839469_-19.89494390965445
104884,BRA,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,1527725.1467533929,0.0002084785757048,T of CO2 per VKT,3984.1591657413874,km,7327971910.727786,vehicle km traveled (VKT),2023-08-17 00:00:00,2023-10-27 16:00:00,São Paulo Urban Area in Guarulhos Municipality,"",-23.436888944670102,-46.47312075976089,BRA,São Paulo,iso3_country,asset_name,trace_-46.47312075976089_-23.436888944670102
