source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other1_def,other2_def,other3_def,geometry_ref
3172182,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2,5145.136622160946,3.1600000000000006,T of CO2 per T of fuel burned,2238,flights,,1628.2077918230839,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,6533.456799349222,8.859999999999977e-05,,2241,flights,,2050.6671941225836,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,6531.063045280187,8.859999999999977e-05,,2241,flights,,2050.6671941225836,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,0.18168911339926044,8.859999999999977e-05,T of N2O per T of fuel burned,2241,flights,,2050.6671941225836,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,0.045422278349814924,2.214999999999985e-05,T of CH4 per T of fuel burned,2241,flights,,2050.6671941225836,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,6480.108333427364,3.16,T of CO2 per T of fuel burned,2241,flights,,2050.6671941225836,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_20yr,14983.762728902273,8.859999999999989e-05,,5286,flights,,4702.979083865247,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2e_100yr,14978.272917902783,8.859999999999989e-05,,5286,flights,,4702.979083865247,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,ch4,0.10417098670761465,2.2149999999999878e-05,T of CH4 per T of fuel burned,5286,flights,,4702.979083865247,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2e_100yr,14726.604479260797,8.85999999999999e-05,,5049,flights,,4623.958531262843,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,n2o,0.40968272586988747,8.85999999999999e-05,T of N2O per T of fuel burned,5049,flights,,4623.958531262843,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,annual,co2,14611.708958790587,3.1600000000000006,T of CO2 per T of fuel burned,5049,flights,,4623.958531262843,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,co2e_100yr,14683.346120793385,8.859999999999985e-05,,5154,flights,,4610.375980311231,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
3172182,BRA,domestic-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,annual,n2o,0.40847931185557435,8.859999999999985e-05,T of N2O per T of fuel burned,5154,flights,,4610.375980311231,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:01.044825,Lauro Carneiro de Loyola Airport,domestic,-26.224501,-48.797401,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-48.797401_-26.224501
